# O2(p)-Ru0(dxy)
# E-Ef / eV	COHP / eV	ICOHP / eV
-25.03129	0.0	0.00132
-24.98123	0.0	0.00132
-24.93116	0.0	0.00132
-24.8811	0.0	0.00132
-24.83104	0.0	0.00132
-24.78098	0.0	0.00132
-24.73091	0.0	0.00132
-24.68085	0.0	0.00132
-24.63079	0.0	0.00132
-24.58073	0.0	0.00132
-24.53066	0.0	0.00132
-24.4806	0.0	0.00132
-24.43054	0.0	0.00132
-24.38048	0.0	0.00132
-24.33041	0.0	0.00132
-24.28035	0.0	0.00132
-24.23029	0.0	0.00132
-24.18023	0.0	0.00132
-24.13016	0.0	0.00132
-24.0801	0.0	0.00132
-24.03004	0.0	0.00132
-23.97997	0.0	0.00132
-23.92991	0.0	0.00132
-23.87985	0.0	0.00132
-23.82979	0.0	0.00132
-23.77972	0.0	0.00132
-23.72966	0.0	0.00132
-23.6796	0.0	0.00132
-23.62954	0.0	0.00132
-23.57947	0.0	0.00132
-23.52941	0.0	0.00132
-23.47935	0.0	0.00132
-23.42929	0.0	0.00132
-23.37922	0.0	0.00132
-23.32916	0.0	0.00132
-23.2791	0.0	0.00132
-23.22904	0.0	0.00132
-23.17897	0.0	0.00132
-23.12891	0.0	0.00132
-23.07885	0.0	0.00132
-23.02879	0.0	0.00132
-22.97872	0.0	0.00132
-22.92866	0.0	0.00132
-22.8786	0.0	0.00132
-22.82854	0.0	0.00132
-22.77847	0.0	0.00132
-22.72841	0.0	0.00132
-22.67835	0.0	0.00132
-22.62829	0.0	0.00132
-22.57822	0.0	0.00132
-22.52816	0.0	0.00132
-22.4781	0.0	0.00132
-22.42804	0.0	0.00132
-22.37797	0.0	0.00132
-22.32791	0.0	0.00132
-22.27785	0.0	0.00132
-22.22778	0.0	0.00132
-22.17772	0.0	0.00132
-22.12766	0.0	0.00132
-22.0776	0.0	0.00132
-22.02753	0.0	0.00132
-21.97747	0.0	0.00132
-21.92741	0.0	0.00132
-21.87735	0.0	0.00132
-21.82728	0.0	0.00132
-21.77722	0.0	0.00132
-21.72716	0.0	0.00132
-21.6771	0.0	0.00132
-21.62703	0.0	0.00132
-21.57697	0.0	0.00132
-21.52691	0.0	0.00132
-21.47685	0.0	0.00132
-21.42678	0.0	0.00132
-21.37672	0.0	0.00132
-21.32666	0.0	0.00132
-21.2766	0.0	0.00132
-21.22653	0.0	0.00132
-21.17647	0.0	0.00132
-21.12641	0.0	0.00132
-21.07635	0.0	0.00132
-21.02628	0.0	0.00132
-20.97622	0.0	0.00132
-20.92616	0.0	0.00132
-20.8761	0.0	0.00132
-20.82603	0.0	0.00132
-20.77597	0.0	0.00132
-20.72591	0.0	0.00132
-20.67584	0.0	0.00132
-20.62578	0.0	0.00132
-20.57572	0.0	0.00132
-20.52566	0.0	0.00132
-20.47559	0.0	0.00132
-20.42553	0.0	0.00132
-20.37547	0.0	0.00132
-20.32541	0.0	0.00132
-20.27534	0.0	0.00132
-20.22528	4e-05	0.00132
-20.17522	8e-05	0.00132
-20.12516	0.00012	0.00132
-20.07509	0.00016	0.00132
-20.02503	0.00024	0.00136
-19.97497	0.00036	0.00136
-19.92491	0.00052	0.0014
-19.87484	0.00076	0.00144
-19.82478	0.00112	0.00148
-19.77472	0.0016	0.00156
-19.72466	0.00232	0.00168
-19.67459	0.00332	0.00184
-19.62453	0.00456	0.00208
-19.57447	0.006	0.00236
-19.52441	0.00752	0.00276
-19.47434	0.009	0.0032
-19.42428	0.01024	0.00372
-19.37422	0.01116	0.00428
-19.32416	0.0118	0.00488
-19.27409	0.01216	0.00548
-19.22403	0.01232	0.00608
-19.17397	0.01236	0.00672
-19.1239	0.01236	0.00732
-19.07384	0.01232	0.00796
-19.02378	0.01216	0.00856
-18.97372	0.01172	0.009139999999999999
-18.92365	0.01092	0.00968
-18.87359	0.00964	0.01016
-18.82353	0.00784	0.01056
-18.77347	0.0056	0.01084
-18.7234	0.003	0.011
-18.67334	0.00024	0.011
-18.62328	-0.00248	0.01088
-18.57322	-0.00484	0.01064
-18.52315	-0.00656	0.01032
-18.47309	-0.00744	0.00992
-18.42303	-0.00752	0.00956
-18.37297	-0.00688	0.0092
-18.3229	-0.00576	0.00892
-18.27284	-0.00444	0.00872
-18.22278	-0.00316	0.00856
-18.17272	-0.00212	0.00844
-18.12265	-0.00128	0.00836
-18.07259	-0.00072	0.00833
-18.02253	-0.0004	0.00832
-17.97247	-0.0002	0.00832
-17.9224	-8e-05	0.00832
-17.87234	-4e-05	0.00832
-17.82228	-0.0	0.00832
-17.77222	-0.0	0.00832
-17.72215	-0.0	0.00832
-17.67209	-0.0	0.00832
-17.62203	-0.0	0.00832
-17.57196	-0.0	0.00832
-17.5219	-0.0	0.00832
-17.47184	-0.0	0.00832
-17.42178	-0.0	0.00832
-17.37171	-0.0	0.00832
-17.32165	-0.0	0.00832
-17.27159	-0.0	0.00832
-17.22153	0.0	0.00832
-17.17146	0.0	0.00832
-17.1214	0.0	0.00832
-17.07134	0.0	0.00832
-17.02128	0.0	0.00832
-16.97121	0.0	0.00832
-16.92115	0.0	0.00832
-16.87109	0.0	0.00832
-16.82103	0.0	0.00832
-16.77096	0.0	0.00832
-16.7209	0.0	0.00832
-16.67084	0.0	0.00832
-16.62078	0.0	0.00832
-16.57071	0.0	0.00832
-16.52065	0.0	0.00832
-16.47059	0.0	0.00832
-16.42053	0.0	0.00832
-16.37046	0.0	0.00832
-16.3204	0.0	0.00832
-16.27034	0.0	0.00832
-16.22028	0.0	0.00832
-16.17021	0.0	0.00832
-16.12015	0.0	0.00832
-16.07009	0.0	0.00832
-16.02003	0.0	0.00832
-15.96996	0.0	0.00832
-15.9199	0.0	0.00832
-15.86984	0.0	0.00832
-15.81977	0.0	0.00832
-15.76971	0.0	0.00832
-15.71965	0.0	0.00832
-15.66959	0.0	0.00832
-15.61952	0.0	0.00832
-15.56946	0.0	0.00832
-15.5194	0.0	0.00832
-15.46934	0.0	0.00832
-15.41927	0.0	0.00832
-15.36921	0.0	0.00832
-15.31915	0.0	0.00832
-15.26909	0.0	0.00832
-15.21902	0.0	0.00832
-15.16896	0.0	0.00832
-15.1189	0.0	0.00832
-15.06884	0.0	0.00832
-15.01877	0.0	0.00832
-14.96871	0.0	0.00832
-14.91865	0.0	0.00832
-14.86859	0.0	0.00832
-14.81852	0.0	0.00832
-14.76846	0.0	0.00832
-14.7184	0.0	0.00832
-14.66834	0.0	0.00832
-14.61827	0.0	0.00832
-14.56821	0.0	0.00832
-14.51815	0.0	0.00832
-14.46809	0.0	0.00832
-14.41802	0.0	0.00832
-14.36796	0.0	0.00832
-14.3179	0.0	0.00832
-14.26783	0.0	0.00832
-14.21777	0.0	0.00832
-14.16771	0.0	0.00832
-14.11765	0.0	0.00832
-14.06758	0.0	0.00832
-14.01752	0.0	0.00832
-13.96746	0.0	0.00832
-13.9174	0.0	0.00832
-13.86733	0.0	0.00832
-13.81727	0.0	0.00832
-13.76721	0.0	0.00832
-13.71715	0.0	0.00832
-13.66708	0.0	0.00832
-13.61702	0.0	0.00832
-13.56696	0.0	0.00832
-13.5169	0.0	0.00832
-13.46683	0.0	0.00832
-13.41677	0.0	0.00832
-13.36671	0.0	0.00832
-13.31665	0.0	0.00832
-13.26658	0.0	0.00832
-13.21652	0.0	0.00832
-13.16646	0.0	0.00832
-13.1164	0.0	0.00832
-13.06633	0.0	0.00832
-13.01627	0.0	0.00832
-12.96621	0.0	0.00832
-12.91615	0.0	0.00832
-12.86608	0.0	0.00832
-12.81602	0.0	0.00832
-12.76596	0.0	0.00832
-12.71589	0.0	0.00832
-12.66583	0.0	0.00832
-12.61577	0.0	0.00832
-12.56571	0.0	0.00832
-12.51564	0.0	0.00832
-12.46558	0.0	0.00832
-12.41552	0.0	0.00832
-12.36546	0.0	0.00832
-12.31539	0.0	0.00832
-12.26533	0.0	0.00832
-12.21527	0.0	0.00832
-12.16521	0.0	0.00832
-12.11514	0.0	0.00832
-12.06508	0.0	0.00832
-12.01502	0.0	0.00832
-11.96496	0.0	0.00832
-11.91489	0.0	0.00832
-11.86483	0.0	0.00832
-11.81477	0.0	0.00832
-11.76471	0.0	0.00832
-11.71464	0.0	0.00832
-11.66458	0.0	0.00832
-11.61452	0.0	0.00832
-11.56446	0.0	0.00832
-11.51439	0.0	0.00832
-11.46433	0.0	0.00832
-11.41427	0.0	0.00832
-11.36421	0.0	0.00832
-11.31414	0.0	0.00832
-11.26408	0.0	0.00832
-11.21402	0.0	0.00832
-11.16395	0.0	0.00832
-11.11389	0.0	0.00832
-11.06383	0.0	0.00832
-11.01377	0.0	0.00832
-10.9637	0.0	0.00832
-10.91364	0.0	0.00832
-10.86358	0.0	0.00832
-10.81352	0.0	0.00832
-10.76345	0.0	0.00832
-10.71339	0.0	0.00832
-10.66333	0.0	0.00832
-10.61327	0.0	0.00832
-10.5632	0.0	0.00832
-10.51314	0.0	0.00832
-10.46308	0.0	0.00832
-10.41302	0.0	0.00832
-10.36295	0.0	0.00832
-10.31289	0.0	0.00832
-10.26283	0.0	0.00832
-10.21277	0.0	0.00832
-10.1627	0.0	0.00832
-10.11264	0.0	0.00832
-10.06258	0.0	0.00832
-10.01252	0.0	0.00832
-9.96245	0.0	0.00832
-9.91239	0.0	0.00832
-9.86233	0.0	0.00832
-9.81227	0.0	0.00832
-9.7622	0.0	0.00832
-9.71214	0.0	0.00832
-9.66208	0.0	0.00832
-9.61202	0.0	0.00832
-9.56195	0.0	0.00832
-9.51189	0.0	0.00832
-9.46183	0.0	0.00832
-9.41176	0.0	0.00832
-9.3617	0.0	0.00832
-9.31164	0.0	0.00832
-9.26158	0.0	0.00832
-9.21151	-0.0	0.00832
-9.16145	-0.0	0.00832
-9.11139	-0.0	0.00832
-9.06133	-0.0	0.00832
-9.01126	-0.0	0.00832
-8.9612	-0.0	0.00832
-8.91114	-0.0	0.00832
-8.86108	-0.0	0.00832
-8.81101	-0.0	0.00832
-8.76095	-4e-05	0.00832
-8.71089	-8e-05	0.00828
-8.66083	-0.00032	0.00828
-8.61076	-0.00092	0.00824
-8.5607	-0.00248	0.00812
-8.51064	-0.00584	0.0078
-8.46058	-0.01256	0.0072
-8.41051	-0.02456	0.00596
-8.36045	-0.04376	0.00376
-8.31039	-0.07152	0.0002
-8.26033	-0.10750000000000001	-0.0052
-8.21026	-0.14926	-0.01268
-8.1602	-0.19219000000000003	-0.02228
-8.11014	-0.23065000000000002	-0.03384
